Club,Club PnL,Club PnL,,Cost target
AMU,Sửa chữa & bảo trì,Repair & maintenance,Fixed cost, (640)
AMU,Vật tư tiêu hao,Supplies,Fixed cost," (1,121)"
AMU,Điện nước,Utilities,Fixed cost," (5,226)"
AMU,Chi phí chung khác,Other OH,Fixed cost," (5,947)"
VSC,Sửa chữa & bảo trì,Repair & maintenance,Fixed cost, (709)
VSC,Vật tư tiêu hao,Supplies,Fixed cost," (1,419)"
VSC,Điện nước,Utilities,Fixed cost," (5,174)"
VSC,Chi phí chung khác,Other OH,Fixed cost," (6,957)"
VMC,Sửa chữa & bảo trì,Repair & maintenance,Fixed cost, (0)
VMC,Vật tư tiêu hao,Supplies,Fixed cost, (17)
VMC,Điện nước,Utilities,Fixed cost, -   
VMC,Chi phí chung khác,Other OH,Fixed cost, (0)
JCQ,Sửa chữa & bảo trì,Repair & maintenance,Fixed cost, -   
JCQ,Vật tư tiêu hao,Supplies,Fixed cost, 10 
JCQ,Điện nước,Utilities,Fixed cost, -   
JCQ,Chi phí chung khác,Other OH,Fixed cost, (19)
JVJ,Sửa chữa & bảo trì,Repair & maintenance,Fixed cost, (144)
JVJ,Vật tư tiêu hao,Supplies,Fixed cost, (101)
JVJ,Điện nước,Utilities,Fixed cost," (2,993)"
JVJ,Chi phí chung khác,Other OH,Fixed cost," (1,437)"
TTC,Sửa chữa & bảo trì,Repair & maintenance,Fixed cost," (2,358)"
TTC,Vật tư tiêu hao,Supplies,Fixed cost," (1,874)"
TTC,Điện nước,Utilities,Fixed cost," (10,849)"
TTC,Chi phí chung khác,Other OH,Fixed cost," (11,741)"
