,30-Jun-26,USD,,,,,,,,,,,,,,,,,,,
,Today,6/16/2026,,,,,,,,,,,,,,,,,,,
,,,,30-Jun-25,31-Jul-25,31-Aug-25,30-Sep-25,31-Oct-25,30-Nov-25,31-Dec-25,31-Jan-26,28-Feb-26,31-Mar-26,30-Apr-26,31-May-26,30-Jun-26,30-Jun-26,30-Jun-26,,,
No.,Club,Categories,,Act,Act,Act,Act,Act,Act,Act,Act,Act,Act,Act,Act,Target,MTD,Projection,% Target,MoM,YoY
,AMY,Giặt khăn,Laundry Service," 1,759 "," 1,622 "," 2,123 "," 2,080 "," 2,119 "," 2,341 "," 2,173 "," 2,174 "," 1,500 "," 1,878 "," 2,335 "," 2,103 "," 2,219 "," 1,184 "," 2,219 ",100%,6%,26%
,AMY,Bảo vệ,Security, 210 , 518 , 340 , 436 , 386 , 266 , 303 , 399 , 319 , 338 , 331 , 312 , 321 , 171 , 321 ,100%,3%,53%
,AMY,Vệ sinh,Cleaning_Center," 2,427 "," 2,418 "," 2,406 "," 2,404 "," 2,411 "," 2,412 "," 2,411 "," 2,534 "," 2,553 "," 2,549 "," 2,527 "," 2,540 "," 2,534 "," 1,351 "," 2,534 ",100%,0%,4%
,AMY,Khác,Others, 783 , 657 , 861 , 671 , 919 , 760 , 832 , 491 , 659 , 472 , 875 , 530 , 554 , 375 , 702 ,127%,33%,-10%
,AMY,Chi phí cố định - Thuê,Total Fixed cost-rental," 15,903 "," 19,176 "," 19,776 "," 18,908 "," 19,419 "," 19,920 "," 19,849 "," 20,229 "," 22,891 "," 19,250 "," 20,250 "," 20,825 "," 20,538 "," 10,953 "," 20,538 ",100%,-1%,29%
,AMY,Chi phí cố định - Khác,Total Fixed costs - Others," 2,140 "," 2,198 "," 1,804 "," 2,091 "," 2,192 "," 2,070 "," 2,171 "," 2,198 "," 1,925 "," 1,947 "," 1,707 "," 1,743 "," 1,725 ", 920 ," 1,725 ",100%,-1%,-19%
,AMY,TỔNG CHI PHÍ,TOTAL COST," 96,499 "," 96,164 "," 92,833 "," 104,899 "," 99,063 "," 95,483 "," 97,578 "," 86,866 "," 67,633 "," 98,108 "," 86,076 "," 85,277 "," 100,932 "," 42,658 "," 79,984 ",79%,-6%,-17%
,AMY,,,,,,,,,,,,,,,,,,,,
,AMY,CASH EBITDA,," 40,798 "," 13,307 "," 12,369 "," 25,036 "," 10,891 "," 1,303 "," 1,946 "," (13,147)"," (40,158)"," 7,791 "," 7,880 "," (7,639)"," 28,068 "," (10,792)"," (20,235)",-33%,-17%,-39%
,AMY,CASH EBITDA MARGIN,,30%,12%,12%,19%,10%,1%,2%,-18%,-146%,7%,8%,-10%,22%,-34%,-34%,,,
,AMY,Staffing % Revenue,,18%,22%,25%,20%,23%,27%,28%,36%,95%,26%,27%,33%,19%,43%,43%,,,
,AMY,Fixed cost % Revenue,,7%,10%,11%,9%,12%,13%,13%,16%,39%,10%,13%,16%,9%,21%,21%,,,
,AMY,Fixed cost -Rental % Revenue,,12%,18%,19%,15%,18%,21%,20%,27%,83%,18%,22%,27%,16%,34%,34%,,,
,,,,,,,,,,,,,,,,,,,,,
16,MPC,Doanh thu NMS,NMS," 80,753 "," 102,739 "," 60,005 "," 80,778 "," 59,946 "," 58,529 "," 58,060 "," 44,546 "," 19,920 "," 74,063 "," 60,914 "," 56,133 "," 85,300 "," 14,494 "," 27,176 ",32%,-52%,-66%
,MPC,Doanh thu PT,PT," 79,168 "," 45,293 "," 72,827 "," 54,421 "," 46,001 "," 34,629 "," 61,409 "," 35,818 ", 933 ," 46,948 "," 39,934 "," 23,646 "," 84,000 "," 7,896 "," 14,805 ",18%,-37%,-81%
,MPC,Doanh thu Supplement,Supplement," 1,881 "," 4,112 "," 3,537 ", 414 ," 4,206 "," 1,339 ", 330 , 234 , -   , 236 , 503 , 340 ," 2,000 ", -   , -   ,0%,-100%,-100%
,MPC,Doanh thu Y&I,Y&I, -   ," 1,010 "," 1,040 ", 481 , 336 , -   , 280 , -   , -   ," 2,164 "," 1,111 ", -   , -   , 323 , 605 ,0%,0%,0%
,MPC,Doanh thu Hypoxi,Hypoxi, -   , -   , -   ," 6,896 "," 2,451 ", 646 ," 3,232 ", 938 , -   , -   , -   , -   ," 2,000 ", -   , -   ,0%,0%,0%
,MPC,Doanh thu VAS,VAS, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0%,0%,0%
,MPC,Doanh thu Califresh & Retail,Califresh and Retail," 2,258 "," 3,187 "," 3,386 "," 2,561 "," 3,123 "," 1,724 "," 3,334 "," 1,906 "," 1,381 "," 2,040 "," 1,774 "," 1,902 "," 3,700 "," 1,176 "," 2,205 ",60%,16%,-2%
,MPC,TỔNG DOANH THU,TOTAL REVENUE," 164,060 "," 156,341 "," 140,795 "," 145,549 "," 116,064 "," 96,868 "," 126,645 "," 83,442 "," 22,233 "," 125,451 "," 104,236 "," 82,022 "," 177,000 "," 23,888 "," 44,790 ",25%,-45%,-73%
,MPC,,,,,,,,,,,,,,,,,,,,
,MPC,Chi phí biến đổi theo doanh thu,Total Variable Cost," 46,001 "," 56,354 "," 47,112 "," 45,294 "," 43,379 "," 40,511 "," 37,280 "," 30,425 "," 9,763 "," 41,627 "," 31,897 "," 28,280 "," 56,160 "," 7,579 "," 14,211 ",25%,-50%,-69%
,MPC,Chi phí lương,Total Staffing cost," 29,416 "," 25,213 "," 31,249 "," 32,013 "," 32,716 "," 33,587 "," 29,058 "," 33,081 "," 28,334 "," 30,377 "," 30,700 "," 29,791 "," 29,371 "," 16,131 "," 30,246 ",103%,2%,3%
,MPC,Chi phí lương - NMS,Staffing - NMS," 7,314 "," 8,092 "," 8,421 "," 8,754 "," 8,955 "," 9,287 "," 6,361 "," 8,954 "," 5,728 "," 8,057 "," 7,652 "," 7,734 "," 6,711 "," 4,103 "," 7,693 ",115%,-1%,5%
,MPC,Chi phí lương - PT,Staffing - PT," 7,950 "," 9,021 "," 8,957 "," 9,243 "," 9,417 "," 9,052 "," 8,826 "," 8,489 "," 7,595 "," 7,296 "," 8,706 "," 8,074 "," 8,415 "," 4,475 "," 8,390 ",100%,4%,6%
,MPC,Chi phí lương - Hypoxi,Staffing - Hypoxi, -   , -   , -   , -   , 303 , 945 ," 1,112 "," 1,338 "," 1,343 ", 935 , 954 , 611 , 954 , 417 , 782 ,82%,28%,0%
,MPC,Chi phí lương - Califresh,Staffing - CAA, 921 , 810 , 872 , 813 , 744 , 898 , 958 , 872 , 711 , 689 , 769 , 919 , 838 , 450 , 844 ,101%,-8%,-8%
,MPC,Chi phí lương - Spa,Staffing - Spa, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0%,0%,0%
,MPC,Chi phí lương - Yoga,Staffing - Yoga," 3,939 "," 3,374 "," 3,633 "," 3,651 "," 3,834 "," 3,799 "," 2,546 "," 3,688 "," 3,707 "," 3,651 "," 3,019 "," 2,626 "," 3,019 "," 1,505 "," 2,823 ",93%,7%,-28%
,MPC,Chi phí lương - GX,Staffing - GX," 2,087 "," 1,954 "," 1,864 "," 1,703 "," 1,721 "," 1,816 "," 1,747 "," 1,840 "," 1,855 "," 1,911 "," 1,885 "," 1,912 "," 1,885 "," 1,013 "," 1,899 ",101%,-1%,-9%
,MPC,Chi phí lương - MS,Staffing - MS," 6,349 "," 1,098 "," 6,648 "," 6,950 "," 6,846 "," 6,885 "," 6,835 "," 7,245 "," 6,738 "," 7,165 "," 7,118 "," 7,273 "," 6,953 "," 3,838 "," 7,196 ",103%,-1%,13%
,MPC,Chi phí lương - CMO,Staffing - CMO, 857 , 864 , 854 , 898 , 896 , 905 , 672 , 654 , 657 , 673 , 596 , 642 , 596 , 330 , 619 ,104%,-4%,-28%
,MPC,Chi phí cố định,Total Fixed cost," 23,696 "," 25,577 "," 24,725 "," 25,227 "," 23,932 "," 26,282 "," 26,845 "," 26,550 "," 31,627 "," 23,846 "," 26,002 "," 27,169 "," 25,629 "," 14,179 "," 26,586 ",104%,-2%,12%
,MPC,Sửa chữa & bảo trì,Repair & maintenance, 367 , 798 ," 1,591 "," 1,883 ", 785 ," 1,846 ", 655 ," 1,508 "," 1,080 "," 1,647 "," 1,198 ", 580 ," 1,686 ", 474 , 889 ,53%,53%,143%
,MPC,Vật tư tiêu hao,Supplies," 3,154 "," 3,531 "," 3,441 "," 3,650 "," 4,182 "," 4,101 "," 3,751 "," 4,017 "," 2,678 "," 2,781 "," 3,434 "," 4,021 "," 3,539 "," 1,988 "," 3,727 ",105%,-7%,18%
,MPC,Vật tư tiêu hao,Utilities," 9,832 "," 10,843 "," 9,126 "," 9,153 "," 8,721 "," 9,898 "," 11,490 "," 9,969 "," 16,622 "," 9,505 "," 10,267 "," 11,890 "," 9,872 "," 5,908 "," 11,078 ",112%,-7%,13%
,MPC,Chi phí chung khác,Other OH," 10,344 "," 10,405 "," 10,568 "," 10,542 "," 10,245 "," 10,438 "," 10,950 "," 11,055 "," 11,247 "," 9,912 "," 11,103 "," 10,678 "," 10,532 "," 5,808 "," 10,891 ",103%,2%,5%
,MPC,Giặt khăn,Laundry Service," 4,343 "," 4,364 "," 4,343 "," 4,338 "," 3,972 "," 4,456 "," 4,170 "," 4,238 "," 4,250 "," 3,127 "," 4,410 "," 4,314 "," 4,362 "," 2,326 "," 4,362 ",100%,1%,0%
,MPC,Bảo vệ,Security, 806 , 778 , 974 , 973 , 866 , 479 ," 1,011 ", 903 , 864 , 844 , 842 , (70), 386 , 206 , 386 ,100%,-650%,-52%
,MPC,Vệ sinh,Cleaning_Center," 3,686 "," 3,768 "," 3,761 "," 3,757 "," 3,768 "," 3,832 "," 4,045 "," 4,674 "," 4,818 "," 4,747 "," 4,245 "," 5,213 "," 4,729 "," 2,522 "," 4,729 ",100%,-9%,28%
,MPC,Khác,Others," 1,509 "," 1,495 "," 1,490 "," 1,473 "," 1,640 "," 1,671 "," 1,724 "," 1,240 "," 1,316 "," 1,194 "," 1,606 "," 1,222 "," 1,055 ", 754 ," 1,414 ",134%,16%,-6%
,MPC,Chi phí cố định - Thuê,Total Fixed cost-rental," 30,395 "," 31,224 "," 32,439 "," 32,370 "," 33,272 "," 34,033 "," 32,822 "," 33,901 "," 37,375 "," 32,517 "," 33,675 "," 34,667 "," 34,171 "," 18,225 "," 34,171 ",100%,-1%,12%
,MPC,Chi phí cố định - Khác,Total Fixed costs - Others," 2,391 "," 2,760 "," 2,728 "," 2,756 "," 2,383 "," 2,025 "," 2,263 "," 2,351 "," 1,698 "," 2,318 "," 1,958 "," 1,810 "," 1,884 "," 1,005 "," 1,884 ",100%,4%,-21%
,MPC,TỔNG CHI PHÍ,TOTAL COST," 131,899 "," 141,127 "," 138,252 "," 137,660 "," 135,681 "," 136,438 "," 128,269 "," 126,308 "," 108,798 "," 130,684 "," 124,232 "," 121,717 "," 147,215 "," 57,119 "," 107,097 ",73%,-12%,-19%
,MPC,,,,,,,,,,,,,,,,,,,,
,MPC,CASH EBITDA,," 32,161 "," 15,214 "," 2,543 "," 7,889 "," (19,618)"," (39,570)"," (1,624)"," (42,865)"," (86,565)"," (5,233)"," (19,996)"," (39,695)"," 29,785 "," (33,230)"," (62,307)",-47%,-33%,-54%
,MPC,CASH EBITDA MARGIN,,20%,10%,2%,5%,-17%,-41%,-1%,-51%,-389%,-4%,-19%,-48%,17%,-139%,-139%,,,
,MPC,Staffing % Revenue,,18%,16%,22%,22%,28%,35%,23%,40%,127%,24%,29%,36%,17%,68%,68%,,,
,MPC,Fixed cost % Revenue,,14%,16%,18%,17%,21%,27%,21%,32%,142%,19%,25%,33%,14%,59%,59%,,,
,MPC,Fixed cost -Rental % Revenue,,19%,20%,23%,22%,29%,35%,26%,41%,168%,26%,32%,42%,19%,76%,76%,,,
,,,,,,,,,,,,,,,,,,,,,
17,PCH,Doanh thu NMS,NMS," 66,597 "," 39,938 "," 42,771 "," 54,576 "," 42,758 "," 28,175 "," 35,152 "," 23,691 "," 18,404 "," 38,806 "," 25,586 "," 23,834 "," 37,360 "," 9,224 "," 17,295 ",46%,-27%,-74%
,PCH,Doanh thu PT,PT," 53,328 "," 17,832 "," 25,413 "," 35,678 "," 19,611 "," 21,639 "," 20,255 "," 15,574 "," 5,102 "," 34,836 "," 12,484 "," 18,491 "," 50,000 "," 2,588 "," 4,853 ",10%,-74%,-91%
,PCH,Doanh thu Supplement,Supplement, 999 ," 2,968 ", 367 , 602 , 320 , -   , 141 , 94 , -   , 416 , 141 , 153 , 910 , 49 , 92 ,10%,-40%,-91%
,PCH,Doanh thu Y&I,Y&I, -   ," 2,020 ", -   , -   , -   , -   , 18 , -   , -   , -   , -   ," 1,111 ", -   , -   , -   ,0%,-100%,0%
,PCH,Doanh thu Hypoxi,Hypoxi, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0%,0%,0%
,PCH,Doanh thu VAS,VAS, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0%,0%,0%
,PCH,Doanh thu Califresh & Retail,Califresh and Retail," 2,058 ", 918 ," 2,675 "," 2,372 "," 1,076 "," 2,645 "," 1,121 "," 2,233 ", 536 ," 1,038 "," 1,101 "," 1,698 "," 2,730 ", 529 , 991 ,36%,-42%,-52%
,PCH,TỔNG DOANH THU,TOTAL REVENUE," 122,982 "," 63,677 "," 71,226 "," 93,229 "," 63,765 "," 52,459 "," 56,688 "," 41,591 "," 24,042 "," 75,095 "," 39,311 "," 45,287 "," 91,000 "," 12,390 "," 23,232 ",26%,-49%,-81%
,PCH,,,,,,,,,,,,,,,,,,,,
,PCH,Chi phí biến đổi theo doanh thu,Total Variable Cost," 45,484 "," 28,008 "," 26,389 "," 30,184 "," 25,751 "," 22,800 "," 22,464 "," 18,654 "," 6,744 "," 25,896 "," 19,672 "," 16,472 "," 35,538 "," 4,839 "," 9,073 ",26%,-45%,-80%
,PCH,Chi phí lương,Total Staffing cost," 28,238 "," 27,688 "," 28,912 "," 29,670 "," 28,150 "," 26,033 "," 25,587 "," 27,229 "," 27,181 "," 29,831 "," 28,714 "," 28,804 "," 27,384 "," 15,338 "," 28,759 ",105%,0%,2%
,PCH,Chi phí lương - NMS,Staffing - NMS," 10,343 "," 10,422 "," 11,116 "," 11,995 "," 10,404 "," 9,492 "," 10,831 "," 11,959 "," 12,260 "," 13,144 "," 11,305 "," 11,506 "," 10,364 "," 6,083 "," 11,406 ",110%,-1%,10%
,PCH,Chi phí lương - PT,Staffing - PT," 6,768 "," 6,362 "," 6,428 "," 5,820 "," 5,937 "," 5,595 "," 4,381 "," 4,498 "," 4,718 "," 6,048 "," 6,531 "," 6,248 "," 6,240 "," 3,408 "," 6,390 ",102%,2%,-6%
,PCH,Chi phí lương - Hypoxi,Staffing - Hypoxi, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0%,0%,0%
,PCH,Chi phí lương - Califresh,Staffing - CAA, 759 , 755 , 860 ," 1,005 ", 910 , 893 , 985 , 841 , 601 , 652 , 644 , 617 , 713 , 336 , 631 ,88%,2%,-17%
,PCH,Chi phí lương - Spa,Staffing - Spa, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0%,0%,0%
,PCH,Chi phí lương - Yoga,Staffing - Yoga," 3,855 "," 3,330 "," 3,586 "," 3,533 "," 3,594 "," 3,080 "," 2,238 "," 2,395 "," 2,474 "," 2,435 "," 2,460 "," 2,549 "," 2,460 "," 1,336 "," 2,504 ",102%,-2%,-35%
,PCH,Chi phí lương - GX,Staffing - GX, 686 , 702 , 670 , 692 , 717 , 760 , 741 , 752 , 714 , 720 , 766 , 739 , 766 , 401 , 752 ,98%,2%,10%
,PCH,Chi phí lương - MS,Staffing - MS," 5,169 "," 5,446 "," 5,530 "," 5,897 "," 5,856 "," 5,477 "," 5,660 "," 5,974 "," 5,604 "," 6,009 "," 6,216 "," 6,345 "," 6,049 "," 3,350 "," 6,281 ",104%,-1%,22%
,PCH,Chi phí lương - CMO,Staffing - CMO, 657 , 671 , 721 , 729 , 732 , 735 , 751 , 809 , 810 , 822 , 792 , 799 , 792 , 424 , 796 ,100%,0%,21%
,PCH,Chi phí cố định,Total Fixed cost," 27,211 "," 29,391 "," 30,746 "," 30,432 "," 25,932 "," 30,220 "," 29,608 "," 31,433 "," 24,859 "," 29,732 "," 27,845 "," 30,499 "," 28,616 "," 15,558 "," 29,172 ",102%,-4%,7%
,PCH,Sửa chữa & bảo trì,Repair & maintenance, 574 , 859 ," 2,256 ", 330 , 752 , 576 , (162), 669 , 791 , 768 , 133 , 247 , 223 , 101 , 190 ,85%,-23%,-67%
,PCH,Vật tư tiêu hao,Supplies," 2,176 "," 2,779 "," 2,831 "," 2,359 "," 2,686 "," 3,469 "," 3,345 "," 2,603 "," 2,372 "," 2,113 "," 2,140 "," 3,070 "," 2,607 "," 1,389 "," 2,605 ",100%,-15%,20%
,PCH,Vật tư tiêu hao,Utilities," 15,803 "," 17,066 "," 16,701 "," 16,460 "," 16,680 "," 17,300 "," 17,841 "," 19,136 "," 13,321 "," 18,237 "," 16,502 "," 18,518 "," 17,070 "," 9,339 "," 17,510 ",103%,-5%,11%
,PCH,Chi phí chung khác,Other OH," 8,659 "," 8,688 "," 8,958 "," 11,284 "," 5,813 "," 8,876 "," 8,583 "," 9,025 "," 8,375 "," 8,614 "," 9,070 "," 8,663 "," 8,716 "," 4,729 "," 8,866 ",102%,2%,2%
,PCH,Giặt khăn,Laundry Service," 2,814 "," 2,663 "," 2,820 "," 5,434 ", (103)," 2,699 "," 2,561 "," 2,779 "," 2,382 "," 2,750 "," 3,085 "," 2,885 "," 2,985 "," 1,592 "," 2,985 ",100%,3%,6%
,PCH,Bảo vệ,Security," 1,122 "," 1,082 "," 1,109 "," 1,140 "," 1,078 "," 1,113 "," 1,072 "," 1,146 "," 1,214 "," 1,010 ", 661 , 632 , 647 , 345 , 647 ,100%,2%,-42%
,PCH,Vệ sinh,Cleaning_Center," 2,885 "," 2,874 "," 2,861 "," 2,875 "," 2,866 "," 3,014 "," 3,169 "," 3,345 "," 2,591 "," 3,337 "," 3,320 "," 3,325 "," 3,322 "," 1,772 "," 3,322 ",100%,0%,15%
,PCH,Khác,Others," 1,838 "," 2,068 "," 2,169 "," 1,836 "," 1,973 "," 2,049 "," 1,780 "," 1,756 "," 2,188 "," 1,517 "," 2,004 "," 1,822 "," 1,762 "," 1,020 "," 1,913 ",109%,5%,4%
,PCH,Chi phí cố định - Thuê,Total Fixed cost-rental," 31,399 "," 34,843 "," 34,679 "," 33,865 "," 34,987 "," 35,448 "," 35,281 "," 36,139 "," 37,298 "," 34,836 "," 36,463 "," 36,212 "," 36,337 "," 19,380 "," 36,337 ",100%,0%,16%
,PCH,Chi phí cố định - Khác,Total Fixed costs - Others," 1,541 "," 2,151 "," 1,527 "," 1,742 "," 1,751 "," 1,457 "," 1,441 "," 1,404 "," 2,029 "," 1,563 ", 966 ," 1,197 "," 1,082 ", 577 ," 1,082 ",100%,-10%,-30%
,PCH,TỔNG CHI PHÍ,TOTAL COST," 133,873 "," 122,081 "," 122,254 "," 125,893 "," 116,571 "," 115,958 "," 114,380 "," 114,858 "," 98,111 "," 121,858 "," 113,660 "," 113,183 "," 128,957 "," 55,692 "," 104,423 ",81%,-8%,-22%
,PCH,,,,,,,,,,,,,,,,,,,,
,PCH,CASH EBITDA,," (10,891)"," (58,405)"," (51,028)"," (32,664)"," (52,806)"," (63,499)"," (57,692)"," (73,267)"," (74,069)"," (46,763)"," (74,349)"," (67,896)"," (37,957)"," (43,302)"," (81,191)",-55%,-41%,-59%
,PCH,CASH EBITDA MARGIN,,-9%,-92%,-72%,-35%,-83%,-121%,-102%,-176%,-308%,-62%,-189%,-150%,-42%,-349%,-349%,,,
,PCH,Staffing % Revenue,,23%,43%,41%,32%,44%,50%,45%,65%,113%,40%,73%,64%,30%,124%,124%,,,
,PCH,Fixed cost % Revenue,,22%,46%,43%,33%,41%,58%,52%,76%,103%,40%,71%,67%,31%,126%,126%,,,
,PCH,Fixed cost -Rental % Revenue,,26%,55%,49%,36%,55%,68%,62%,87%,155%,46%,93%,80%,40%,156%,156%,,,
,,,,,,,,,,,,,,,,,,,,,
18,HDY,Doanh thu NMS,NMS," 43,026 "," 51,196 "," 37,470 "," 37,078 "," 38,798 "," 25,404 "," 37,723 "," 21,588 "," 14,371 "," 25,440 "," 27,519 "," 17,561 "," 40,000 "," 10,159 "," 19,048 ",48%,8%,-56%
,HDY,Doanh thu PT,PT," 29,857 "," 20,412 "," 35,457 "," 35,635 "," 22,639 "," 23,426 "," 43,412 "," 30,055 "," 2,476 "," 29,164 "," 30,877 "," 24,310 "," 43,000 "," 5,069 "," 9,504 ",22%,-61%,-68%
,HDY,Doanh thu Supplement,Supplement," 1,464 "," 2,588 "," 2,049 "," 1,767 "," 2,139 ", 693 , 754 , 656 , 47 , 733 , 525 , 430 ," 1,000 ", -   , -   ,0%,-100%,-100%
,HDY,Doanh thu Y&I,Y&I," 2,049 ", -   ," 2,081 ", -   ," 1,081 ", -   , -   , -   , -   , -   , -   , 273 ," 4,000 ", -   , -   ,0%,-100%,-100%
,HDY,Doanh thu Hypoxi,Hypoxi, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0%,0%,0%
,HDY,Doanh thu VAS,VAS, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0%,0%,0%
,HDY,Doanh thu Califresh & Retail,Califresh and Retail," 1,180 "," 2,068 "," 2,334 "," 1,070 "," 2,294 "," 2,119 "," 1,315 "," 1,811 ", 721 ," 1,154 ", 758 ," 1,253 "," 2,000 ", 912 ," 1,709 ",85%,36%,45%
,HDY,TỔNG DOANH THU,TOTAL REVENUE," 77,577 "," 76,264 "," 79,391 "," 75,549 "," 66,951 "," 51,642 "," 83,203 "," 54,110 "," 17,616 "," 56,491 "," 59,680 "," 43,828 "," 90,000 "," 16,139 "," 30,261 ",34%,-31%,-61%
,HDY,,,,,,,,,,,,,,,,,,,,
,HDY,Chi phí biến đổi theo doanh thu,Total Variable Cost," 22,521 "," 29,192 "," 22,094 "," 25,141 "," 22,511 "," 19,097 "," 30,228 "," 22,054 "," 7,855 "," 20,764 "," 21,838 "," 17,116 "," 33,286 "," 5,969 "," 11,192 ",34%,-35%,-50%
,HDY,Chi phí lương,Total Staffing cost," 20,048 "," 21,626 "," 23,166 "," 22,618 "," 24,405 "," 23,502 "," 26,164 "," 26,806 "," 27,305 "," 22,690 "," 25,813 "," 22,498 "," 24,472 "," 12,883 "," 24,155 ",99%,7%,20%
,HDY,Chi phí lương - NMS,Staffing - NMS," 7,948 "," 8,613 "," 8,937 "," 8,207 "," 8,844 "," 8,281 "," 9,594 "," 9,935 "," 9,694 "," 6,204 "," 8,791 "," 5,285 "," 7,850 "," 3,754 "," 7,038 ",90%,33%,-11%
,HDY,Chi phí lương - PT,Staffing - PT," 3,875 "," 4,733 "," 5,156 "," 5,311 "," 7,188 "," 7,106 "," 7,569 "," 7,939 "," 8,071 "," 7,667 "," 7,580 "," 7,532 "," 7,288 "," 4,030 "," 7,556 ",104%,0%,95%
,HDY,Chi phí lương - Hypoxi,Staffing - Hypoxi, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0%,0%,0%
,HDY,Chi phí lương - Califresh,Staffing - CAA, 615 , 613 , 593 , 592 , 635 , 699 , 720 , 620 , 458 , 548 , 823 , 916 , 892 , 464 , 870 ,97%,-5%,41%
,HDY,Chi phí lương - Spa,Staffing - Spa, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0%,0%,0%
,HDY,Chi phí lương - Yoga,Staffing - Yoga," 3,172 "," 2,980 "," 3,524 "," 3,040 "," 2,534 "," 2,523 "," 3,369 "," 3,123 "," 4,039 "," 3,627 "," 3,715 "," 3,984 "," 3,715 "," 2,053 "," 3,850 ",104%,-3%,21%
,HDY,Chi phí lương - GX,Staffing - GX, 423 , 373 , 466 , 481 , 467 , 349 , 317 , 301 , 320 , 303 , 300 , 288 , 300 , 157 , 294 ,98%,2%,-31%
,HDY,Chi phí lương - MS,Staffing - MS," 3,357 "," 3,642 "," 3,769 "," 4,259 "," 4,005 "," 3,809 "," 3,844 "," 4,079 "," 3,912 "," 3,519 "," 3,811 "," 3,693 "," 3,634 "," 2,001 "," 3,752 ",103%,2%,12%
,HDY,Chi phí lương - CMO,Staffing - CMO, 657 , 671 , 721 , 729 , 732 , 735 , 751 , 809 , 810 , 822 , 792 , 799 , 792 , 424 , 796 ,100%,0%,21%
,HDY,Chi phí cố định,Total Fixed cost," 14,016 "," 14,315 "," 15,143 "," 13,897 "," 13,877 "," 14,032 "," 14,581 "," 15,062 "," 11,735 "," 11,983 "," 14,776 "," 13,635 "," 14,528 "," 7,576 "," 14,205 ",98%,4%,1%
,HDY,Sửa chữa & bảo trì,Repair & maintenance, 149 , 465 , 877 , 819 , 470 , 515 , 370 , 733 , 517 , 621 , 649 , 168 ," 1,056 ", 218 , 409 ,39%,143%,174%
,HDY,Vật tư tiêu hao,Supplies," 1,003 "," 1,242 "," 1,122 "," 1,053 "," 1,303 "," 1,351 "," 1,238 "," 1,280 ", 692 ," 1,049 "," 1,012 "," 1,366 "," 1,145 ", 634 ," 1,189 ",104%,-13%,19%
,HDY,Vật tư tiêu hao,Utilities," 7,052 "," 6,798 "," 6,996 "," 6,185 "," 6,414 "," 6,355 "," 6,101 "," 6,457 "," 4,774 "," 5,605 "," 6,763 "," 6,111 "," 6,409 "," 3,433 "," 6,437 ",100%,5%,-9%
,HDY,Chi phí chung khác,Other OH," 5,811 "," 5,809 "," 6,148 "," 5,841 "," 5,690 "," 5,811 "," 6,872 "," 6,591 "," 5,751 "," 4,709 "," 6,353 "," 5,989 "," 5,917 "," 3,291 "," 6,171 ",104%,3%,6%
,HDY,Giặt khăn,Laundry Service," 1,293 "," 1,299 "," 1,312 "," 1,311 "," 1,083 "," 1,240 "," 1,348 "," 1,348 "," 1,352 ", 903 ," 1,476 "," 1,327 "," 1,401 ", 747 ," 1,401 ",100%,6%,8%
,HDY,Bảo vệ,Security, 557 , 517 , 602 , 525 , 676 , 568 , 927 , 779 , 16 , -   , 341 , 341 , 341 , 182 , 341 ,100%,0%,-39%
,HDY,Vệ sinh,Cleaning_Center," 2,045 "," 2,052 "," 2,042 "," 2,040 "," 2,046 "," 2,235 "," 2,328 "," 2,479 "," 2,477 "," 2,392 "," 2,398 "," 2,615 "," 2,507 "," 1,337 "," 2,507 ",100%,-4%,23%
,HDY,Khác,Others," 1,916 "," 1,942 "," 2,192 "," 1,965 "," 1,885 "," 1,768 "," 2,269 "," 1,985 "," 1,905 "," 1,414 "," 2,138 "," 1,706 "," 1,668 "," 1,025 "," 1,922 ",115%,13%,0%
,HDY,Chi phí cố định - Thuê,Total Fixed cost-rental," 18,015 "," 18,289 "," 18,441 "," 18,654 "," 18,848 "," 19,466 "," 18,693 "," 4,742 "," 21,514 "," 19,671 "," 19,630 "," 20,330 "," 19,980 "," 10,656 "," 19,980 ",100%,-2%,11%
,HDY,Chi phí cố định - Khác,Total Fixed costs - Others," 1,447 "," 1,539 "," 1,538 "," 1,784 "," 1,587 "," 1,572 "," 1,561 "," 1,866 "," 1,599 "," 1,736 "," 1,302 "," 1,188 "," 1,245 ", 664 ," 1,245 ",100%,5%,-14%
