,30-Jun-26,USD,,,,,,,,,,,,,,,,,,,
,Today,6/16/2026,,,,,,,,,,,,,,,,,,,
,,,,30-Jun-25,31-Jul-25,31-Aug-25,30-Sep-25,31-Oct-25,30-Nov-25,31-Dec-25,31-Jan-26,28-Feb-26,31-Mar-26,30-Apr-26,31-May-26,30-Jun-26,30-Jun-26,30-Jun-26,,,
No.,Club,Categories,,Act,Act,Act,Act,Act,Act,Act,Act,Act,Act,Act,Act,Target,MTD,Projection,% Target,MoM,YoY
,SCT,Chi phí biến đổi theo doanh thu,Total Variable Cost," 54,861 "," 49,823 "," 59,580 "," 52,614 "," 64,497 "," 48,149 "," 65,328 "," 29,897 "," 13,741 "," 47,639 "," 42,327 "," 32,042 "," 67,753 "," 15,172 "," 28,447 ",42%,-11%,-48%
,SCT,Chi phí lương,Total Staffing cost," 36,825 "," 36,340 "," 34,895 "," 36,323 "," 37,002 "," 37,115 "," 42,501 "," 39,998 "," 39,177 "," 39,622 "," 37,169 "," 36,707 "," 34,764 "," 38,723 "," 72,606 ",209%,98%,97%
,SCT,Chi phí lương - NMS,Staffing - NMS," 11,113 "," 11,481 "," 11,405 "," 10,789 "," 10,887 "," 11,139 "," 13,957 "," 13,990 "," 13,923 "," 14,012 "," 12,438 "," 12,411 "," 11,497 "," 6,626 "," 12,424 ",108%,0%,12%
,SCT,Chi phí lương - PT,Staffing - PT," 8,896 "," 7,985 "," 7,520 "," 8,508 "," 9,299 "," 9,614 "," 9,032 "," 7,947 "," 8,352 "," 7,376 "," 6,308 "," 6,467 "," 6,016 "," 3,406 "," 6,387 ",106%,-1%,-28%
,SCT,Chi phí lương - Hypoxi,Staffing - Hypoxi," 1,880 "," 1,856 "," 1,428 "," 1,374 "," 1,317 "," 1,974 "," 2,014 "," 1,687 "," 1,727 "," 1,938 "," 1,959 "," 1,617 "," 1,959 ", 954 ," 1,788 ",91%,11%,-5%
,SCT,Chi phí lương - Califresh,Staffing - CAA," 1,135 "," 1,264 ", 970 ," 1,284 "," 1,404 ", 979 , 890 ," 1,281 "," 1,046 "," 1,243 "," 1,316 "," 1,083 "," 1,385 ", 640 ," 1,200 ",87%,11%,6%
,SCT,Chi phí lương - Spa,Staffing - Spa," 1,007 ", 982 , 980 ," 1,001 ", 992 , 985 , 978 ," 1,045 "," 1,044 "," 1,025 "," 1,042 "," 1,017 ", -   , 549 ," 1,030 ",0%,1%,2%
,SCT,Chi phí lương - Yoga,Staffing - Yoga," 2,807 "," 3,110 "," 2,937 "," 3,094 "," 2,918 "," 2,078 "," 5,100 "," 2,896 "," 2,905 "," 2,890 "," 2,962 "," 3,319 "," 2,962 "," 1,675 "," 3,140 ",106%,-5%,12%
,SCT,Chi phí lương - GX,Staffing - GX, 936 , 837 , 926 , 901 , 910 ," 1,008 ", 956 , 995 ," 1,011 "," 1,058 "," 1,130 "," 1,167 "," 1,130 ", 613 ," 1,149 ",102%,-2%,23%
,SCT,Chi phí lương - MS,Staffing - MS," 8,317 "," 8,111 "," 8,206 "," 8,808 "," 8,667 "," 8,542 "," 8,741 "," 9,206 "," 8,207 "," 9,170 "," 9,373 "," 8,997 "," 9,174 "," 4,899 "," 9,185 ",100%,2%,10%
,SCT,Chi phí lương - CMO,Staffing - CMO," 36,092 "," 35,626 "," 34,373 "," 35,760 "," 36,394 "," 36,318 "," 41,668 "," 39,048 "," 38,215 "," 38,711 "," 36,528 "," 36,078 ", 641 ," 19,361 "," 36,303 ",5665%,1%,1%
,SCT,Chi phí cố định,Total Fixed cost," 50,540 "," 52,104 "," 54,500 "," 47,315 "," 50,593 "," 49,484 "," 46,220 "," 47,856 "," 43,425 "," 44,360 "," 50,113 "," 49,071 "," 49,236 "," 26,449 "," 49,592 ",101%,1%,-2%
,SCT,Sửa chữa & bảo trì,Repair & maintenance," 2,648 "," 2,917 "," 3,757 "," 2,361 "," 2,376 "," 2,425 ", 29 ," 1,452 "," 2,670 "," 2,555 "," 3,256 "," 1,693 "," 2,386 "," 1,320 "," 2,474 ",104%,46%,-7%
,SCT,Vật tư tiêu hao,Supplies," 6,181 "," 6,419 "," 6,457 "," 5,747 "," 7,618 "," 6,375 "," 6,256 "," 6,300 "," 4,725 "," 5,166 "," 5,438 "," 6,464 "," 6,157 "," 3,174 "," 5,951 ",97%,-8%,-4%
