Check in,,,,
Month,Date,Day,Club,Checked-in
45838,45822,14,GMC,567
45838,45822,14,VTC,342
45838,45822,14,MAC,444
45838,45822,14,AMU,512
45838,45822,14,VSC,510
45838,45822,14,VMC,490
45838,45822,14,JCQ,0
45838,45822,14,JVJ,93
45838,45822,14,TTC,0
45838,45823,15,HVP,538
45838,45823,15,SCT,973
45838,45823,15,CPT,726
45838,45823,15,PCO,739
45838,45823,15,RCC,1114
45838,45823,15,FDC,310
45838,45823,15,BDS,326
45838,45823,15,DNG,1014
45838,45823,15,TCM,1116
45838,45823,15,TDC,547
45838,45823,15,VVO,718
45838,45823,15,LTC,622
45838,45823,15,PPC,420
45838,45823,15,PBH,332
45838,45823,15,NTC,619
45838,45823,15,CTC,827
45838,45823,15,AMY,374
45838,45823,15,MPC,931
45838,45823,15,PCH,631
45838,45823,15,CVC,299
45838,45823,15,HDY,286
45838,45823,15,TDU,794
45838,45823,15,GVC,424
45838,45823,15,WPC,1034
45838,45823,15,SCC,601
45838,45823,15,HDC,873
45838,45823,15,LMC,634
45838,45823,15,GDC,516
45838,45823,15,GMC,532
45838,45823,15,VTC,261
45838,45823,15,MAC,334
45838,45823,15,AMU,396
45838,45823,15,VSC,436
45838,45823,15,VMC,465
45838,45823,15,JCQ,0
45838,45823,15,JVJ,64
45838,45823,15,TTC,0
45838,45824,16,HVP,1044
45838,45824,16,SCT,1771
45838,45824,16,CPT,1243
45838,45824,16,PCO,1104
45838,45824,16,RCC,1292
45838,45824,16,FDC,634
45838,45824,16,BDS,560
45838,45824,16,DNG,1462
45838,45824,16,TCM,1525
45838,45824,16,TDC,783
45838,45824,16,VVO,996
45838,45824,16,LTC,1064
45838,45824,16,PPC,619
45838,45824,16,PBH,649
45838,45824,16,NTC,928
45838,45824,16,CTC,1136
45838,45824,16,AMY,643
45838,45824,16,MPC,1308
45838,45824,16,PCH,969
45838,45824,16,CVC,450
45838,45824,16,HDY,569
45838,45824,16,TDU,1089
45838,45824,16,GVC,735
45838,45824,16,WPC,1377
45838,45824,16,SCC,972
45838,45824,16,HDC,1224
45838,45824,16,LMC,869
45838,45824,16,GDC,810
45838,45824,16,GMC,609
45838,45824,16,VTC,443
45838,45824,16,MAC,520
45838,45824,16,AMU,619
45838,45824,16,VSC,661
45838,45824,16,VMC,649
45838,45824,16,JCQ,0
45838,45824,16,JVJ,139
45838,45824,16,TTC,0
45838,45825,17,HVP,1101
45838,45825,17,SCT,1933
45838,45825,17,CPT,1351
45838,45825,17,PCO,1156
45838,45825,17,RCC,1345
45838,45825,17,FDC,635
45838,45825,17,BDS,629
45838,45825,17,DNG,1429
45838,45825,17,TCM,1701
45838,45825,17,TDC,792
45838,45825,17,VVO,1076
45838,45825,17,LTC,1131
45838,45825,17,PPC,645
45838,45825,17,PBH,737
45838,45825,17,NTC,868
45838,45825,17,CTC,1231
45838,45825,17,AMY,661
45838,45825,17,MPC,1371
45838,45825,17,PCH,1056
45838,45825,17,CVC,397
45838,45825,17,HDY,628
45838,45825,17,TDU,1212
45838,45825,17,GVC,791
45838,45825,17,WPC,1494
45838,45825,17,SCC,986
45838,45825,17,HDC,1294
45838,45825,17,LMC,974
45838,45825,17,GDC,856
45838,45825,17,GMC,650
45838,45825,17,VTC,475
45838,45825,17,MAC,558
45838,45825,17,AMU,639
45838,45825,17,VSC,732
45838,45825,17,VMC,619
45838,45825,17,JCQ,0
45838,45825,17,JVJ,156
45838,45825,17,TTC,0
45838,45826,18,HVP,989
45838,45826,18,SCT,1906
45838,45826,18,CPT,1334
45838,45826,18,PCO,1171
45838,45826,18,RCC,1383
45838,45826,18,FDC,652
45838,45826,18,BDS,615
45838,45826,18,DNG,1413
45838,45826,18,TCM,1601
45838,45826,18,TDC,785
45838,45826,18,VVO,1031
45838,45826,18,LTC,1191
45838,45826,18,PPC,735
45838,45826,18,PBH,620
45838,45826,18,NTC,937
45838,45826,18,CTC,1175
