 ,Current headcount by department ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Month,Apr'26,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total, 322 , 616 , 29 , 78 , 127 , 418 ," 1,589 "," 198,148 "," 266,753 "," 15,350 "," 24,029 "," 110,119 "," 201,170 "," 25,860 "," 34,055 "," 2,082 "," 877,566 ",," 5,759 "," 5,241 ",,,,,,,,
,,Headcount,,,,,,,Staffing cost,,,,,,,,,,,,,,,,,,,1-Apr-26,
,Club,Sales,PT,Hypoxi,GX,Yoga,MS,Total HC,SALES,PT,HYPOXI,GX,Yoga,MS,CMO,CALIFRESH,Retail,Total club staffing costs,,DS,MR,,,,,Club,Department,No. of HC,Staffing cost (USD)
,VSC, 7 , 15 , -   , 2 , 3 , 10 , 37 ," 3,339 "," 7,362 ", -   , 444 ," 2,536 "," 5,220 ", 792 , 936 , 69 ," 20,699 ",, 102 , 138 ,,,,,CPT,PT, 21.9 ," 8,409 "
,TTC, 6 , 38 , 4 , 3 , 5 , 15 , 70 ," 3,939 "," 15,775 "," 1,149 ", 796 ," 4,726 "," 7,535 ", 790 ," 1,281 ", 69 ," 36,061 ",, 166 , 135 ,,,,,CPT,Hypoxi, -   , -   
,,,,,,,,,,,,,,,,,,,,,,,,,,CPT,GX, 6.1 , 855 
,,,,,,,,,,,,,,,,,,,,,,,,,,CPT,Yoga, 3.8 ," 4,111 "
,,,,,,,,,,,,,,,,,,,,,,,,,,CPT,MS, 14.5 ," 7,533 "
,,,,,,,,,,,,,,,,,,,,,,,,,,CPT,CMO, 1.9 ," 1,314 "
,,,,,,,,,,,,,,,,,,,,,,,,,,CPT,CALIFRESH, 3.8 ," 1,092 "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,RCC,Sales, 9.7 ," 6,646 "
,,,,,,,,,,,,,,,,,,,,,,,,,,RCC,PT, 17.9 ," 7,404 "
,,,,,,,,,,,,,,,,,,,,,,,,,,RCC,Hypoxi, -   , -   
,,,,,,,,,,,,,,,,,,,,,,,,,,RCC,GX, 5.0 , 783 
,,,,,,,,,,,,,,,,,,,,,,,,,,RCC,Yoga, 2.7 ," 3,234 "
,,,,,,,,,,,,,,,,,,,,,,,,,,RCC,MS, 18.5 ," 9,645 "
,,,,,,,,,,,,,,,,,,,,,,,,,,RCC,CMO, 1.4 , 863 
